"Year" "Pathway" "TradeAdjustment" "GDP" "Population" "kcal_hist" "kcal_targ" "kcal_feas" "fat_feas" "prot_feas" "kcal_mder" "LNPPMatureForest" "LNPPMatureOtherLand" "PATarget" "AgroecoSh" "ProtectedAreasForest" "ProtectedAreasOtherNat" "ProtectedAreasOther" "OECMAreas" "CalcBioScore" "HistCropland" "HistHarvArea" "HistPasture" "HistUrban" "HistForest" "HistOtherLand" "CalcCropland" "CalcPasture" "CalcForest" "CalcNewForest" "CalcOtherLand" "NewOtherLand" "CalcUrban" "TotalLand" "ForestChange" "NewForestChange" "NetForestChange" "HistCropAllCO2e" "HistCropCO2" "HistCropN2O" "HistCropCH4" "CalcCropAllCO2e" "CalcCropN2O" "CalcCropCH4_CH4" "CalcCropCH4" "CalcCropCO2" "HistLiveAllCO2e" "HistLiveN2O" "HistLiveCH4" "CalcLiveAllCO2e" "CalcLiveCH4_CH4" "CalcLiveCH4" "CalcLiveN2O" "CalcAllAgriCO2e" "CalcDeforCO2" "CalcOtherLUCCO2" "CalcSequestCO2" "CalcPeatCO2" "CalcAllLandCO2e" "GHGbiofuels" "HistWFblue" "CalcWFblue" "CalcSequestAband" "CalcSequestAffor" "CalcFarmLabourFTE" "CalcN_org" "CalcN_synth" "HistN_org" "HistN_synth" "TotalP" "HistP"
"2050" "CurrentTrend" "No" 500139.98604511 9089.93609062186 0 3002.66546712317 2946.31607763419 105.246179704421 87.4917878250212 2066.40901995946 2944897.63107816 1175912.28231379 0 0.543983412793687 1035177.78964759 415416.792019584 766062.531903 249631.195 80.6209764838847 0 0 0 0 0 0 1817603.83164677 2887970.37817031 3562767.94087219 208714.816542608 3016842.96691829 480853.090245212 152847.496974072 12127600.5213715 -27072.962562587 11323.4136085627 -15749.5489540643 1752.21083694 0 1114.2013428 638.0094941 2508.92908338505 1222.46217960469 27.4008640102238 745.303501054472 541.163402720904 4455.94905378 953.9459748 3502.003079 7402.3858977399 412.137595614595 5285.53058494611 2116.85531283065 9810.8172454731 1380.84907891744 451.790104921942 -1779.589127537 0 70.5135859241619 -100.497735683 0 1135901.47852297 -876.10441593 -903.484711565 305824.879075486 35415.1290370726 127573.680069398 0 0 33440.8935184509 0
"2000" "GlobalSustainability" "No" 46786.191454924 5970.747278 2669.82072509919 2669.82072509919 2662.91571754721 67.9533590217625 70.803444387736 2063.3469623464 3124396.0761383 1327128.412331 0 0.456249668820721 883503.2798126 287111.786903 689374.600903 226882.549 72.2184149526033 1429657.927458 1105335.746548 3151877.42094 103659.026895 3962911.297545 3582274.529849 1492189.447857 3103308.22581835 3965777.846845 0 3525474.3380099 0 40845.822978624 12127595.681521 0 0 0 1907.6646893 523.6895423 737.6607966 646.3143504 1934.855580754 761.028009572181 23.6924362400112 644.434265681148 529.393305508041 3282.27162674 720.0988977 2562.172729 2901.338339234 83.557558629628 2272.765594446 628.572744607 4831.259493302 0 0 0 0 0 -4.9344296503 227560.02056 844942.140908295 0 0 186927.651969142 23524.026318281 73399.737498527 24296.589055239 79240.60418 17776.446892815 0
"2005" "GlobalSustainability" "No" 60433.4548312519 6357.526156 2697.02713630305 2697.02713630305 2683.9462629808 70.9516252658856 71.5741611893038 2074.34669113916 3124396.0761383 1327128.412331 0 0.463681249364343 883503.2798126 287111.786903 689374.600903 226882.549 72.2184459482498 1444051.542759 1167374.074868 3078108.72615 102186.50493 3944643.674345 3658867.707019 1508852.560306 3021799.02614578 3932819.5951641 19839.40244348 3467424.930035 128867.22706125 48009.49239041 12127612.233681 -32958.251561599 19839.40244348 -13118.849120079 2024.18429574 546.1426158 827.358441 650.6832389 2041.594656599 844.684805703 23.8252172187901 648.045908314549 548.863942648031 3432.21783598 764.4058422 2667.8119938 3023.152314756 105.818118476775 2350.591255901 672.561058929 5054.921845489 1833.87108030669 458.953594027746 -333.342562847 0 1967.672184276 -9.825139595 512186.422187 863848.012401501 -207.450631218 -125.891959469 202483.989229655 24002.216360956 87872.55889615 24872.690633051 88352.70608 21550.796881506 0
"2010" "GlobalSustainability" "No" 81096.3340636988 6756.22319 2752.25889234144 2752.25889234144 2732.24432089134 70.2789838466233 73.7805398453459 2077.32916938891 3124396.0761383 1327128.412331 0 0.473463656133295 883503.2798126 287111.786903 689374.600903 226882.549 74.3970848975592 1446140.12266 1211630.045532 3033416.12905 104404.604946 3932307.445545 3713318.615673 1478935.271693 2981610.79231576 3909268.7727794 39164.804887 3428686.5979487 233197.850154718 56749.750981301 12127613.840461 -23550.82254814 19325.40244348 -4225.4201081 2091.27099358 515.0008736 899.9036592 676.36646076 2115.556457777 917.171504062 24.9261222151575 677.990524347204 520.394429409 3539.53567922 801.3054504 2738.23022886 3108.816532468 126.203270201769 2405.471023654 703.345508729 5143.020239998 1255.1278310958 292.083413963903 -581.421288905 0 973.980058688 -81.352748059 1466926.712551 903124.653273429 -378.791257406 -202.630060218 209588.472850902 25109.21788209 98645.248258456 26042.30355122 99368.87077 24493.921804895 0
"2015" "GlobalSustainability" "No" 111258.061301458 7174.732523 2752.03443381704 2762.74839943919 2762.2729875952 72.5231309019981 74.91721992269 2076.11414634881 3119463.588016 1329946.275227 0 0.468782216798237 923484.6718126 340749.897903 718190.997903 233420.565 74.3970636339083 1479666.259561 1290358.061817 2970840.697152 106843.967112 3917922.758245 3757683.597135 1518668.472773 2927549.65221517 3872028.2184294 55552.5073304 3402813.2277106 283517.38739567 67471.81453226 12127601.280421 -37240.554238765 16387.70244348 -20852.851791345 2113.21397942 495.6839907 951.0596277 666.47036096 2155.82026148 994.728121133 24.6729743082221 671.104901167821 489.987239248152 3662.39529828 841.0536225 2821.34167578 3193.63378828 147.028820028336 2460.65832479 732.975463485 5256.513799801 2308.37224805846 308.270852904717 -680.691416943 0 1944.14181642057 -92.9402708 1482859.571645 924609.286128516 -424.78971806 -255.901698832 219042.412047188 25235.02621353 109022.95087645 26591.96328508 104668.56329 26689.679827974 0
"2020" "GlobalSustainability" "No" 144767.024454759 7559.46716 2806.25923594944 2816.8906516145 2801.26706634419 75.6417208931571 77.3511158655498 2074.97250794957 3110188.486016 1332698.144227 0 0.462617790427701 965643.2558126 364594.325903 766062.531903 249631.195 74.7360066086835 1492299.6708 1331476.707206 2958986.78065 102772.944816 3903476.714945 3766638.573422 1523742.715315 2917675.60495339 3845347.1470564 77230.7896648 3373471.6486995 309262.86723564 80870.538142 12127601.310981 -26681.071364092 21678.2823344 -5002.789029692 2143.19372566 479.9394452 985.0528233 678.20145718 2166.451200535 1020.488441716 24.9810888927714 679.485617880771 466.47714085123 3840.6140674 907.5546207 2933.05944674 3318.128469792 168.799515155491 2540.804839693 777.323630061 5382.373039589 1683.48796826498 107.986294924894 -865.170728409 0 934.493689510806 -102.206674156 1482859.571645 929439.168995249 -495.049237714 -370.121490733 223191.91868982 25792.40344313 112716.22522755 27495.72205665 111281.91402 28850.597722533 0
"2025" "GlobalSustainability" "No" 199522.581651524 7803.590908627 0 2791.96166472576 2744.61181826437 75.4845385471291 76.2624704188209 2087.61952525928 3105112.287917 1239431.52191235 0 0.459426450393104 1086542.55053144 443804.99184594 766062.531903 249631.195 81.5227104505591 0 0 0 0 0 0 1447760.4332128 2821331.14625133 3836727.6732164 143119.9277782 3333596.5015732 450435.91044551 94692.51279306 12127664.105391 -8619.473852045 65872.680283 57253.20642346 0 0 0 0 2160.996975298 1032.092589904 24.8350230824242 675.512627888518 453.391757654909 0 0 0 3388.844206303 178.326567895197 2597.47928867 791.364917579 5443.015095994 608.702099878865 259.175203543401 -1564.494251762 0 -689.785906541 -106.826122143 0 896640.932935863 -820.078908148 -744.321492571 208547.161162936 27127.5868974 112743.99630876 0 0 29747.295076563 0
"2030" "GlobalSustainability" "No" 258964.521626869 8021.159191805 0 2758.01448935698 2699.53127411321 77.8220376393737 76.3601928942114 2092.83613687458 3104253.34126 1246441.00508351 0 0.458728443974728 1145763.63786118 488920.539495 766062.531903 249631.195 85.2348869609375 0 0 0 0 0 0 1426712.6372208 2724301.24797908 3835279.3054164 191399.13459757 3307311.6041395 536685.61909653 106076.37762404 12127765.925971 -1448.36776087996 48262.74898123 46814.38121559 1652.8961703 0 1002.4831635 650.41300684 2144.710114194 1034.100343747 24.4161165054077 664.118368939878 446.491401533096 3999.85654806 835.6693527 3164.1871954 3509.064846979 195.030516161562 2686.154521339 822.910325612 5566.229580526 113.465772341 126.354281786187 -1993.360189322 0 -1748.068275546 -87.545351143 0 896363.811142759 -1011.590745249 -981.581590013 211367.192077239 27959.20934973 112267.28811115 0 0 30458.970788746 0
"2035" "GlobalSustainability" "No" 320132.919877134 8207.493239045 0 2718.26288755484 2637.47056508983 80.6094047565778 76.3170982529754 2093.10892003175 3098852.009193 1261328.79871205 0 0.466530408385364 1204081.3843439 534049.69163345 766062.531903 249631.195 86.1741718851719 0 0 0 0 0 0 1423144.6011358 2603963.79694102 3826228.0884164 236095.4414094 3276912.4343651 644324.75301873 117197.17624851 12127866.291321 -9051.21712216999 44679.84898153 35628.63185889 0 0 0 0 2129.823129398 1041.985003049 23.664069893918 643.662701128584 444.175425372453 0 0 0 3579.971273152 205.985962026274 2735.122727586 844.848545559 5635.160629969 719.215861001 234.49047552734 -2462.679820705 0 -1504.860648174 -74.633743195 0 905643.085876263 -1263.417999159 -1198.980113495 215008.460377771 28871.0199073 112555.18647567 0 0 31663.358919258 0
"2040" "GlobalSustainability" "No" 380495.072367964 8366.669408014 0 2672.53402396264 2562.53450420849 83.8666339018171 76.2437547745762 2089.98217496891 3096223.066527 1275628.07355285 0 0.482776652154995 1257308.8154256 579258.80863563 766062.531903 249631.195 86.8675883297199 0 0 0 0 0 0 1410753.3633748 2469940.93941705 3821817.1598064 280633.5482177 3252512.47856912 763855.20723931 128086.48211155 12127599.178521 -4410.92848941 44521.64898153 40110.72048729 0 0 0 0 2091.751603491 1036.111151689 22.6537705708627 616.182559508624 439.457892315915 0 0 0 3608.079976936 211.065714132615 2749.361451635 858.718525313 5631.329638145 349.545188723 137.296075013415 -2963.486082547 0 -2473.89116088 -68.501913258 0 924855.875644947 -1548.30967003 -1414.800698134 218952.368095746 29687.4900683 111224.14737183 0 0 32475.568361258 0
"2045" "GlobalSustainability" "No" 441309.062326482 8488.755108355 0 2620.45780400188 2492.95691075088 87.8717479923481 76.4637286566586 2087.1504343107 3092516.47706 1290747.61508074 0 0.504656814743447 1311186.2077997 624448.15757726 766062.531903 249631.195 87.5072462160168 0 0 0 0 0 0 1401374.0364448 2327195.5994581 3815602.4787064 311911.8893923 3233514.69524937 899277.952347824 138722.25722114 12127598.908771 -6214.68101951998 31261.883333 25047.20231236 0 0 0 0 2052.479754831 1027.424273623 21.7323341696572 591.119489346528 433.935991799625 0 0 0 3595.127469188 210.219170135167 2730.665743231 864.46172608 5575.084296289 493.332109722 113.776447100852 -3448.369852903 0 -2839.866768556 -72.522898198 0 949472.617058478 -1877.697295419 -1570.202908749 222831.728434236 30603.6297415 109911.5316556 0 0 33603.927542021 0
"2050" "GlobalSustainability" "No" 501754.287384162 8562.079144749 0 2591.75655088988 2463.85842331299 89.5633650093268 76.5462089587253 2086.43602927934 3092469.931004 1292327.18883036 0 0.540848868368732 1364790.8441613 669563.33651829 766062.531903 249631.195 88.0877692078986 0 0 0 0 0 0 1386227.3329538 2247429.34180271 3815513.7653064 334712.4608302 3219846.80377502 974854.803990879 149014.16508729 12127598.673541 -88.7134595699454 22784.11360823 22695.4001478501 1752.21083688 0 1114.2013428 638.00949408 2019.208172341 1018.175859582 21.1692852481186 575.804558685324 425.227754141681 4455.94905378 953.9459748 3502.003079 3631.99057717 220.84546525971 2757.253777526 874.73679947524 5532.910006008 5.377587776 108.13798740088 -3744.18177096 0 -3630.630739663 -118.288714218 0 946887.794818858 -2038.885400909 -1704.732838753 226125.36783497 31250.09759136 108162.06556664 0 0 33769.298290984 0
"2000" "NationalCommitments" "No" 46786.191454924 5970.747278 2669.82072509919 2669.82072509919 2662.91571754721 67.9533590217625 70.803444387736 2055.10181804366 3124396.0761383 1327128.412331 0 0.456249668820721 883503.2798126 287111.786903 689374.600903 226882.549 72.2184149526033 1429657.927458 1105335.746548 3151877.42094 103659.026895 3962911.297545 3582274.529849 1492189.447857 3103308.22581835 3965777.846845 0 3525474.3380099 0 40845.822978624 12127595.681521 0 0 0 1907.6646893 523.6895423 737.6607966 646.3143504 1934.855580754 761.028009572181 23.6924362400112 644.434265681148 529.393305508041 3282.27162674 720.0988977 2562.172729 2901.338339234 83.557558629628 2272.765594446 628.572744607 4831.259493302 0 0 0 0 0 -4.9344296503 227560.02056 844942.140908295 0 0 186927.651969142 23524.026318281 73399.737498527 24296.589055239 79240.60418 17776.446892815 0
"2005" "NationalCommitments" "No" 60433.4548312519 6357.526156 2697.02713630305 2697.02713630305 2683.9462629808 70.9516252658856 71.5741611893038 2065.92700352969 3124396.0761383 1327128.412331 0 0.463681249364343 883503.2798126 287111.786903 689374.600903 226882.549 72.2184459482498 1444051.542759 1167374.074868 3078108.72615 102186.50493 3944643.674345 3658867.707019 1508852.560306 3021799.02614578 3932819.5951641 20014.40244348 3467410.5986991 128706.55839715 48009.49239041 12127612.233681 -32958.251561599 20014.40244348 -12943.849120079 2024.18429574 546.1426158 827.358441 650.6832389 2041.594656599 844.684805703 23.8252172187901 648.045908314549 548.863942648031 3432.21783598 764.4058422 2667.8119938 3023.152314756 105.818118476775 2350.591255901 672.561058929 5054.921845489 1833.87108030669 458.953594027746 -333.404995585 0 1967.609751539 -9.825139595 512186.422187 863848.012401501 -207.291817283 -126.113206143 202483.989229655 24002.216360956 87872.55889615 24872.690633051 88352.70608 21550.796881506 0
"2010" "NationalCommitments" "No" 81096.3340636988 6756.22319 2752.25889234144 2752.25889234144 2732.24432089134 70.2789838466233 73.7805398453459 2068.75746249558 3124396.0761383 1327128.412331 0 0.473463656133295 883503.2798126 287111.786903 689374.600903 226882.549 74.3970848975592 1446140.12266 1211630.045532 3033416.12905 104404.604946 3932307.445545 3713318.615673 1478935.271693 2981610.79231576 3909268.7727794 39466.804887 3428661.8661576 232920.581945818 56749.750981301 12127613.840461 -23550.82254814 19452.40244348 -4098.4201081 2091.27099358 515.0008736 899.9036592 676.36646076 2115.556457777 917.171504062 24.9261222151575 677.990524347204 520.394429409 3539.53567922 801.3054504 2738.23022886 3108.816532468 126.203270201769 2405.471023654 703.345508729 5143.020239998 1255.1278310958 292.083413963903 -581.515274894 0 973.886072699 -81.352748059 1466926.712551 903124.653273429 -378.517189928 -202.998113685 209588.472850902 25109.21788209 98645.248258456 26042.30355122 99368.87077 24493.921804895 0
"2015" "NationalCommitments" "No" 111258.061301458 7174.732523 2752.03443381704 2762.74839943919 2762.23372720841 72.5229017434004 74.9166197841888 2067.35778914315 3119463.588016 1329946.275227 0 0.468987425392964 923484.6718126 340749.897903 718190.997903 233420.565 74.3970630052944 1479666.259561 1290358.061817 2970840.697152 106843.967112 3917922.758245 3757683.597135 1518668.101466 2927549.65221517 3872028.1889994 55854.5073304 3402813.2571436 283215.38739567 67471.81453226 12127600.909111 -37240.583638765 16387.70244348 -20852.881191345 2113.21397942 495.6839907 951.0596277 666.47036096 2156.580774761 995.087575396 24.6730163787518 671.10604548623 490.387153949152 3662.39529828 841.0536225 2821.34167578 3193.63378828 147.028820028336 2460.65832479 732.975463485 5256.697411762 2308.37301609345 308.270622494219 -680.732851506 0 1944.10091948207 -93.517172123 1482859.571645 924651.582649476 -424.515650582 -256.217200873 219053.822249028 25258.162145 109054.13777315 26591.96328508 104668.56329 26702.083981184 0
"2020" "NationalCommitments" "No" 144767.024454759 7559.46716 2806.25923594944 2816.8906516145 2801.21678910025 75.6412795396686 77.3503695034479 2070.00704391594 3110188.486016 1332698.144227 0 0.462711244205965 965643.2558126 364594.325903 766062.531903 249631.195 74.7360060307237 1492299.6708 1331476.707206 2958986.78065 102772.944816 3903476.714945 3766638.573422 1523952.697325 2917675.60495339 3845652.5626264 77532.7896648 3370394.2511985 311522.52003924 80870.538142 12127600.963861 -26375.626358772 21678.2823344 -4697.344024592 2143.19372566 479.9394452 985.0528233 678.20145718 2166.763272122 1020.614667271 24.9811071293615 679.486113916022 466.66249085023 3840.6140674 907.5546207 2933.05944674 3318.128469792 168.799515155491 2540.804839693 777.323630061 5383.370283486 1678.18102050098 111.625982907894 -867.752074766 0 930.245083378806 -101.521501848 1482859.571645 929481.461298659 -497.763040119 -369.989034688 223202.40156098 25799.13033173 112728.68417625 27495.72205665 111281.91402 28851.032410393 0
"2025" "NationalCommitments" "No" 199574.777038914 7859.778673727 0 2808.02865000424 2773.01000710472 77.3134150025556 77.2442311368314 2078.62240986667 3099143.313241 1231573.4618414 0 0.465335471467022 1066655.04471144 426748.59755294 766062.531903 249631.195 77.4060354889639 0 0 0 0 0 0 1485160.133657 2858901.84284546 3826330.4220174 125179.228034203 3312633.8935342 423681.48945812 95810.75016506 12127697.759661 -19322.140714075 47640.380538973 28318.239824873 0 0 0 0 2196.203469665 1046.0387202 24.9468555288695 678.554470324868 471.610278963 0 0 0 3678.44492707 188.238956029782 2782.798605551 895.64632155 5765.577732765 1162.83980971221 636.045980446026 -1336.568745592 0 469.529305066 -109.070700136 0 912875.660426019 -733.778088185 -602.738445235 208062.803539458 27296.28999464 113496.92890102 0 0 29791.752844341 0
