id,submission_id,scenathon_id,pathway,country_id,country,iteration,tradeadjusment,gdp,population,diet,food_waste_share,import_share,exports,livestock_productivity,crop_productivity,agricultural_land_expansion,afforestation,ruminant_density,trade_adjustment,population_activity,climate_change,protected_areas,post_harvest_loss,biofuels,price,gwp,urbanarea,agpractice,irrarea,pathways,calibrationyear
445,176,17,NationalCommitments,5,CAN,3,Yes,SSP1,UN_high,EATLancetAverage,Reduced,I2,MyExportScen2,NoGrowth,NoGrowth,NoDefor2030,BonnChallenge,NoGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Custom,AR6,CurrentTrend,Organic,LowGrowth,Null,2020
446,176,18,GlobalSustainability,5,CAN,3,Yes,SSP1,UN_high,EATLancetAverage,MyFoodLossScen,I2,MyExportScen3,LowGrowth,HighGrowth,NoDefor2030,BonnChallenge+,NoGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion2,MyPHLossScen,OECD_AGLINK,Custom,AR6,CurrentTrend,Organic,HighGrowth,Null,2020
447,255,16,CurrentTrends,7,COL,3,Yes,SSP1,UN_medium,NatCurrentDiet,Current,I1,E3,BAUGrowth,LowGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,National,Custom,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
448,255,17,NationalCommitments,7,COL,3,Yes,SSP2,UN_medium,NatCurrentDiet,Reduced,I2,E2,LowGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,National,Custom,AR6,UN_medium,Diversified,NoGrowth,NationalCommitments,2020
449,255,18,GlobalSustainability,7,COL,3,Yes,SSP2,UN_medium,EATLancetAverage,Reduced,I3,E1,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,High,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,National,Custom,AR6,UN_medium,Diversified,NoGrowth,GlobalSustainability,2020
450,238,16,CurrentTrends,8,ETH,3,Yes,country_team,UN_high,FATDiet,Reduced,I1,E3,BAUGrowth,LowGrowth,FreeExpansion,NDC,BAUGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,Reduced,NoChange,CurrentDollars,AR6,UN_high,Diversified,LowGrowth,CurrentTrends,2020
451,238,17,NationalCommitments,8,ETH,3,Yes,country_team,UN_low,FATDiet,Reduced,I3,E1,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Diversified,HighGrowth,NationalCommitments,2020
452,238,18,GlobalSustainability,8,ETH,3,Yes,country_team,UN_low,FATDiet,Reduced,I2,E1,HighGrowth,MiddleGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Diversified,HighGrowth,GlobalSustainability,2020
453,195,16,CurrentTrends,9,IND,3,Yes,SSP2,UN_constantfertility,No Change,Current,I2,E3,BAUGrowth,NoGrowth,FreeExpansion,NoAffor,BAUGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
376,254,16,CurrentTrends,40,R_SSA,2,No,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,Optimal,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,Average,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
454,195,17,NationalCommitments,9,IND,3,Yes,SSP1,UN_low,ICMR_NIN,Reduced,I3,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,NoChange,Reduced,NoChange,CurrentDollars,AR6,UN_low,NoChange,NoGrowth,NationalCommitments,2020
455,195,18,GlobalSustainability,9,IND,3,Yes,SSP1,UN_medium,EATLancetAverage,Reduced,I3,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,NoChange,Reduced,NoChange,CurrentDollars,AR6,UN_medium,NoChange,NoGrowth,GlobalSustainability,2020
459,182,16,CurrentTrends,13,MEX,3,Yes,SSP2,UN_constantfertility,Current_INSP,Current,I2,E3,BAUGrowth,MiddleGrowth,NoDefor2030,ReforMex_BAU,BAUGrowth,Yes,Low,rcp6p0_hadgem2-es_n_GEPIC,PAExpansionCT,NoChange,NoChange,Average,AR6,CurrentTrend,Mixed_CT,NoGrowth,CurrentTrends,2020
460,182,17,NationalCommitments,13,MEX,3,Yes,SSP2,UN_constantfertility,NatHealthy_INSP,Reduced,I3,E3,LowGrowth,LowGrowth,NoDefor2030,ReforMex_BAU,BAUGrowth,Yes,Low,rcp2p6_hadgem2-es_n_GEPIC,PAExpansionSust,Reduced,NoChange,Average,AR6,CurrentTrend,Mixed_NC,NoGrowth,NationalCommitments,2020
385,235,16,CurrentTrends,15,RWA,2,No,SSP2,UN_medium,NatHealthyDiet,Increased,I2,E3,HighGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,National,CurrentDollars,AR6,Current Trends,Organic,LowGrowth,CurrentTrends,2020
393,199,16,CurrentTrends,33,DEU,2,No,SSP2,UN_medium,NoChange,Slow50,I2,E0,BAUGrowth,LowGrowth,NoExpansion,NoAffor,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
461,182,18,GlobalSustainability,13,MEX,3,Yes,SSP2,UN_constantfertility,NatHealthy_INSP,Reduced,I2,E3,Silvopastoril,HighGrowth,NoExpansion,ReforMex_SUST,Silvopastoril,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansionSust,Reduced,NoChange,Average,AR6,CurrentTrend,Mixed_GS,NoGrowth,GlobalSustainability,2020
398,176,16,CurrentTrends,5,CAN,2,No,SSP1,UN_high,FatDiet,Current,I2,MyExportScen,NoGrowth,ReducedGrowth,FreeExpansion,NoAffor,NoGrowth,No,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,Custom,AR6,CurrentTrend,Organic,LowGrowth,CurrentTrends,2020
375,255,16,CurrentTrends,7,COL,2,No,SSP1,UN_medium,NatCurrentDiet,Current,I1,E3,BAUGrowth,LowGrowth,FreeExpansion,BonnChallenge,BAUGrowth,No,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,National,Custom,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
380,250,16,CurrentTrends,43,R_CSA,2,No,SSP3,UN_low,FatDiet,Current,I1,E3,HighGrowth,HighGrowth,FreeExpansion,NoAffor,HighGrowth,No,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,Mixed,LowGrowth,CurrentTrends,2020
399,170,16,CurrentTrends,14,RUS,2,No,SSP3,UN_medium,NoChange,Current,I3,E1,NoGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,No,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
462,170,16,CurrentTrends,14,RUS,3,Yes,SSP3,UN_medium,NoChange,Current,I3,E1,NoGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,Yes,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
463,170,17,NationalCommitments,14,RUS,3,Yes,SSP3,UN_high,NoChange,Current,I3,E1,LowGrowth,LowGrowth,FreeExpansion,NoAffor,NoGrowth,No,Low,rcp2p6_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,HighGrowth,NationalCommitments,2020
464,170,18,GlobalSustainability,14,RUS,3,Yes,SSP3,UN_medium,NoChange,Current,I3,E1,HighGrowth,HighGrowth,NoExpansion,NoAffor,NoGrowth,Yes,Low,rcp2p6_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,Mixed,HighGrowth,GlobalSustainability,2020
465,235,16,CurrentTrends,15,RWA,3,Yes,SSP2,UN_medium,NatHealthyDiet,Increased,I2,E3,HighGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,National,CurrentDollars,AR6,Current Trends,Organic,LowGrowth,CurrentTrends,2020
466,235,17,NationalCommitments,15,RWA,3,Yes,SSP2,UN_medium,NatHealthyDiet,Increased,I2,E3,HighGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,National,CurrentDollars,AR6,Current Trends,Cover_crops,LowGrowth,NationalCommitments,2020
467,235,18,GlobalSustainability,15,RWA,3,Yes,SSP1,UN_medium,NatHealthyDiet,Reduced,I2,E3,HighGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,UN_medium,Organic,HighGrowth,GlobalSustainability,2020
471,243,16,CurrentTrends,18,GBR,3,Yes,SSP2,UN_medium,NoChange,Current,I2,E3,UK_CT,UK_CT,FreeExpansion,UK_CT2,NoGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,Average,AR6,UK_CT,NoChange,NoGrowth,CurrentTrends,2020
472,243,17,NationalCommitments,18,GBR,3,Yes,SSP2,UN_medium,UK_NC,UK_NC,I2,E3,UK_SP1,UK_NC,FreeExpansion,UK_NC,UK_SP1,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,UK_NC,Halve_by_2050,OECD_AGLINK,Average,AR6,UK_SP1,UK_NC,NoGrowth,NationalCommitments,2020
473,243,18,GlobalSustainability,18,GBR,3,Yes,SSP2,UN_medium,6CB_High,UK_GS,I2,E3,UK_SP2,UK_GS,NoDefor,UK_GS,UK_SP1,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,UK_GS,Halve_by_2030,OECD_AGLINK,Average,AR6,UK_SP2,Mixed,NoGrowth,GlobalSustainability,2020
474,226,16,CurrentTrends,19,USA,3,Yes,SSP2,UN_nochange,FASOM $20/t,Current,I2,E6,BAUGrowth,HighGrowth,FreeExpansion,FASOM $20/tCO2,HighGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,FASOM $20/t,Average,AR6,CurrentTrend,Mixed,NoGrowth,CurrentTrends,2020
475,226,17,NationalCommitments,19,USA,3,Yes,SSP2,UN_nochange,HealthyDietUS_USDA,Reduced,I2,E3,BAUGrowth,HighGrowth,FreeExpansion,Mid-century strategy report - Otherland,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,NoChange,FASOM $20/t,Average,AR6,CurrentTrend,Mixed,NoGrowth,NationalCommitments,2020
476,226,18,GlobalSustainability,19,USA,3,Yes,SSP2,UN_nochange,HealthyDietUS_USDA,Reduced,I2,E3,BAUGrowth,HighGrowth,NoExpansion,Mid-century strategy report - Otherland,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,PATHWAYS_central,Average,AR6,CurrentTrend,Mixed,NoGrowth,GlobalSustainability,2020
386,234,16,CurrentTrends,57,TUR,2,No,SSP2,UN_medium,NoChange,Current,I1,E3,BAUGrowth,MiddleGrowth,FreeExpansion,NeutralityCountry,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,NoChange,Average,AR6,NoChange,Mixed,LowGrowth,CurrentTrends,2020
390,221,16,CurrentTrends,58,GRC,2,No,SSP2,UN_nochange,NoChange,Current,I2,E3,BAUGrowth,NoGrowth,NoDefor2030,NoAffor,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,Diversified,NoGrowth,CurrentTrends,2020
394,195,16,CurrentTrends,9,IND,2,No,SSP2,UN_constantfertility,No Change,Current,I2,E3,BAUGrowth,NoGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
400,169,16,CurrentTrends,3,BRA,2,No,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,BAUGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,Andrade_low,Average,AR6,CurrentTrend,Diversified,NoGrowth,CurrentTrends,2020
477,252,16,CurrentTrends,21,R_OEU,3,Yes,SSP2,UN_medium,NoChange,Current,I2,E3,NoGrowth,NoGrowth,NoExpansion,BonnChallenge,NoGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,NoChange,NoChange,NoGrowth,CurrentTrends,2020
478,252,17,NationalCommitments,21,R_OEU,3,Yes,SSP2,UN_medium,MyDiet,MyFoodLossScen,MyImportScen,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,NoAffor,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,NoGrowth,NationalCommitments,2020
479,252,18,GlobalSustainability,21,R_OEU,3,Yes,SSP2,UN_medium,EATLancetAverage,MyFoodLossScen,MyImportScen,MyExportScen,BAUGrowth,MiddleGrowth,NoDefor2030,NoAffor,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,NoGrowth,GlobalSustainability,2020
483,190,16,CurrentTrends,31,NOR,3,Yes,SSP2,UN_medium,NoChange,Reduced,I2,E3,BAUGrowth,LowGrowth,NoExpansion,NoAffor,NoGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,OECD_AGLINK,Average,AR6,UN_medium,Mixed,LowGrowth,CurrentTrends,2020
484,190,17,NationalCommitments,31,NOR,3,Yes,SSP1,UN_medium,HealthyDiet,StrongReduce,I3,E3,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_medium,Mixed,LowGrowth,NationalCommitments,2020
485,190,18,GlobalSustainability,31,NOR,3,Yes,SSP1,UN_low,HealthyDiet,StrongReduce,I3,E3,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,NoGrowth,Yes,High,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_low,Mixed,LowGrowth,GlobalSustainability,2020
486,199,16,CurrentTrends,33,DEU,3,Yes,SSP2,UN_medium,NoChange,Slow50,I2,E0,BAUGrowth,LowGrowth,NoExpansion,NoAffor,BAUGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,NoChange,NoGrowth,CurrentTrends,2020
487,199,17,NationalCommitments,33,DEU,3,Yes,SSP2,UN_medium,SugarRedFat15,Rapid50,I3,Redux,BAUGrowth,MiddleGrowth,NoExpansion,NoAffor,HighGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAAichi30,Reduced,National,Average,AR6,CurrentTrend,Organic,LowGrowth,NationalCommitments,2020
488,199,18,GlobalSustainability,33,DEU,3,Yes,SSP1,UN_medium,NatHealthyDiet,Rapid50,I3,Redux,HighGrowth,HighGrowth,NoExpansion,NoAffor,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAAichi30,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,HighGrowth,GlobalSustainability,2020
489,254,16,CurrentTrends,40,R_SSA,3,Yes,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,BonnChallenge,Optimal,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,Average,AR6,CurrentTrend,NoChange,NoGrowth,Null,2020
490,254,17,NationalCommitments,40,R_SSA,3,Yes,SSP1,UN_medium,FatDiet,Current,I3,E2,HighGrowth,HighGrowth,FreeExpansion,GGWgrowth,Optimal,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansionNat,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Diversified,HighGrowth,Null,2020
491,254,18,GlobalSustainability,40,R_SSA,3,Yes,SSP1,UN_momentum,EATLancetAverage,Reduced,I3,MyExportScen,LowGrowth,MiddleGrowth,NoExpansion,BonnChallenge,Optimal,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_momentum,Mixed,LowGrowth,Null,2020
492,249,16,CurrentTrends,41,R_ASP,3,Yes,SSP1,UN_low,CurrentTrend,Increased,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,NoAffor,LowGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,Organic,NoGrowth,CurrentTrends,2020
493,249,17,NationalCommitments,41,R_ASP,3,Yes,SSP1,UN_low,NationalCom,Reduced,I2,E2,HighGrowth,HighGrowth,FreeExpansion,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,CurrentTrend,Mixed,LowGrowth,NationalCommitments,2020
494,249,18,GlobalSustainability,41,R_ASP,3,Yes,SSP2,UN_low,Sustainable,Reduced,I2,E1,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,BAUGrowth,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,UN_low,Mixed+,LowGrowth,GlobalSustainability,2020
495,250,16,CurrentTrends,43,R_CSA,3,Yes,SSP3,UN_low,FatDiet,Current,I1,E3,HighGrowth,HighGrowth,FreeExpansion,NoAffor,HighGrowth,Yes,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,CurrentTrend,Mixed,LowGrowth,CurrentTrends,2020
377,253,16,CurrentTrends,52,RMECAS,2,No,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,Optimal,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,UN_medium,Embed_nat,NoGrowth,CurrentTrends,2020
381,249,16,CurrentTrends,41,R_ASP,2,No,SSP1,UN_low,CurrentTrend,Increased,I2,E2,BAUGrowth,MiddleGrowth,FreeExpansion,NoAffor,LowGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,OECD_AGLINK,Average,AR6,CurrentTrend,Organic,NoGrowth,CurrentTrends,2020
496,250,17,NationalCommitments,43,R_CSA,3,Yes,SSP3,UN_low,FatDiet,Reduced,I2,E2,HighGrowth,HighGrowth,NoExpansion,BonnChallenge,HighGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,CurrentDollars,AR6,NoChange,Mixed,NoGrowth,NationalCommitments,2020
497,250,18,GlobalSustainability,43,R_CSA,3,Yes,SSP1,UN_low,EATLancetAverage,Reduced,I2,E3,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,HighGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,Reduced,OECD_AGLINK,Average,AR6,NoChange,Mixed,NoGrowth,GlobalSustainability,2020
391,209,16,CurrentTrends,2,AUS,2,No,IGR 2023,IGR 2023,Nochange,Scenathon2020_CurrentTrends,I2,Stable,Scenathon2020_CurrentTrends,LowGrowth,NoExpansion,Scenathon2020_CurrentTrends,Scenathon2020_CurrentTrends,No,Low,rcp6p0_hadgem2-es_n_GEPIC,NoChange,Scenathon2020_CurrentTrends,National,CurrentDollars,AR6,CurrentTrend,Advanced_Farming,NoGrowth,CurrentTrends,2020
395,190,16,CurrentTrends,31,NOR,2,No,SSP2,UN_medium,NoChange,Reduced,I2,E3,BAUGrowth,LowGrowth,NoExpansion,NoAffor,NoGrowth,No,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,OECD_AGLINK,Average,AR6,UN_medium,Mixed,LowGrowth,CurrentTrends,2020
396,182,16,CurrentTrends,13,MEX,2,No,SSP2,UN_constantfertility,Current_INSP,Current,I2,E3,BAUGrowth,MiddleGrowth,NoDefor2030,ReforMex_BAU,BAUGrowth,No,Low,rcp6p0_hadgem2-es_n_GEPIC,PAExpansionCT,NoChange,NoChange,Average,AR6,CurrentTrend,Mixed_CT,NoGrowth,CurrentTrends,2020
501,253,16,CurrentTrends,52,RMECAS,3,Yes,SSP2,UN_medium,FatDiet,Current,I2,E2,BAUGrowth,LowGrowth,FreeExpansion,NoAffor,Optimal,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,NoChange,NoChange,NoChange,CurrentDollars,AR6,UN_medium,Embed_nat,NoGrowth,CurrentTrends,2020
502,253,17,NationalCommitments,52,RMECAS,3,Yes,SSP2,UN_medium,MyDiet,Current,I2,E2,LowGrowth,MiddleGrowth,NoDefor2050,BonnChallenge,Optimal,Yes,Middle,rcp4p5_hadgem2-es_n_GEPIC,NoChange,NoChange,OECD_AGLINK,CurrentDollars,AR6,UN_medium,Organic,LowGrowth,NationalCommitments,2020
503,253,18,GlobalSustainability,52,RMECAS,3,Yes,SSP2,UN_medium,EATLancetAverage,Reduced,I2,E2,HighGrowth,HighGrowth,NoDefor2030,BonnChallenge,Optimal,Yes,Middle,rcp2p6_hadgem2-es_n_GEPIC,PAExpansion,NoChange,OECD_AGLINK,CurrentDollars,AR6,UN_medium,Mixed,LowGrowth,GlobalSustainability,2020
504,205,16,CurrentTrends,55,DNK,3,Yes,SSP3,UN_medium,NoChange,MyFoodLossScen,I3,E3,BAUGrowth,LowGrowth,NoExpansion,CurrentTrend,NoGrowth,Yes,Middle,rcp6p0_hadgem2-es_n_GEPIC,PAExpansion,NoChange,OECD_AGLINK,Average,AR6,UN_medium,Mixed,NoGrowth,CurrentTrends,2020
